customer_id,customer_fname,customer_lname,customer_email,customer_password,customer_city,customer_state,customer_zipcode,customer_country,customer_segment,customer_street
20755,Cally,Holloway,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Consumer,5365 Noble Nectar Island
19492,Irene,Luna,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Consumer,2679 Rustic Loop
19491,Gillian,Maldonado,XXXXXXXXX,XXXXXXXXX,San Jose,CA,95125.0,EE. UU.,Consumer,8510 Round Bear Gate
19490,Tana,Tate,XXXXXXXXX,XXXXXXXXX,Los Angeles,CA,90027.0,EE. UU.,Home Office,3200 Amber Bend
19489,Orli,Hendricks,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,8671 Iron Anchor Corners
19488,Kimberly,Flowers,XXXXXXXXX,XXXXXXXXX,Tonawanda,NY,14150.0,EE. UU.,Consumer,2122 Hazy Corner
19487,Constance,Terrell,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Home Office,1879 Green Pine Bank
19486,Erica,Stevens,XXXXXXXXX,XXXXXXXXX,Miami,FL,33162.0,EE. UU.,Corporate,7595 Cotton Log Row
19485,Nichole,Olsen,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,2051 Dusty Route
19484,Oprah,Delacruz,XXXXXXXXX,XXXXXXXXX,San Ramon,CA,94583.0,EE. UU.,Corporate,9139 Blue Blossom Court
19483,Germane,Short,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,4058 Quiet Heights
19482,Freya,Robbins,XXXXXXXXX,XXXXXXXXX,Freeport,NY,11520.0,EE. UU.,Consumer,3243 Shady Corner
19481,Cassandra,Jensen,XXXXXXXXX,XXXXXXXXX,Salinas,CA,93905.0,EE. UU.,Corporate,131 Sunny Treasure Green
19480,Natalie,Mcfadden,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,2531 Wishing Square
19479,Kimberley,Sharpe,XXXXXXXXX,XXXXXXXXX,Peabody,MA,1960.0,EE. UU.,Corporate,6417 Silver Towers
19478,Sade,Lancaster,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,257 Harvest Close
19477,Brynne,Giles,XXXXXXXXX,XXXXXXXXX,Canovanas,PR,729.0,Puerto Rico,Corporate,7342 Hazy Beacon Park
19476,Ciara,Bird,XXXXXXXXX,XXXXXXXXX,Paramount,CA,90723.0,EE. UU.,Corporate,7787 Lazy Corners
19475,Bo,Griffin,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Consumer,5136 Rustic Pioneer Estates
19474,Kim,Simon,XXXXXXXXX,XXXXXXXXX,Mount Prospect,IL,60056.0,EE. UU.,Consumer,1723 Tawny Via
19473,Kellie,Farmer,XXXXXXXXX,XXXXXXXXX,Long Beach,CA,90813.0,EE. UU.,Corporate,7111 Silent Fox Gardens
19472,Alma,Conley,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,3732 Old Mountain Bank
19471,Yeo,Bird,XXXXXXXXX,XXXXXXXXX,Rancho Cordova,CA,95670.0,EE. UU.,Corporate,6217 Rustic Lake Forest
19470,Lucy,Mcknight,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,1082 Quiet Treasure Link
19469,Simone,Vance,XXXXXXXXX,XXXXXXXXX,Billings,MT,59102.0,EE. UU.,Corporate,3176 Round Gate
19468,Roary,Wheeler,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,1426 Fallen Line
19467,Quail,Ashley,XXXXXXXXX,XXXXXXXXX,Wilkes Barre,PA,18702.0,EE. UU.,Consumer,9814 Emerald Prairie Limits
19466,Hannah,Velez,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,8271 Tawny Elk Abbey
19465,Evelyn,Kelly,XXXXXXXXX,XXXXXXXXX,Roseville,MI,48066.0,EE. UU.,Corporate,3931 Gentle Ramp
19464,Jael,Mcfarland,XXXXXXXXX,XXXXXXXXX,Bellflower,CA,90706.0,EE. UU.,Consumer,9699 Honey Rise
19463,Teagan,Romero,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Consumer,1564 Rocky Terrace
19462,Joan,Wilder,XXXXXXXXX,XXXXXXXXX,Wheaton,IL,60187.0,EE. UU.,Consumer,4294 High Passage
19461,Basia,Watts,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Consumer,5918 Golden Beacon Freeway
19460,Dominique,Rogers,XXXXXXXXX,XXXXXXXXX,Detroit,MI,48238.0,EE. UU.,Consumer,3915 Broad Lookout
19459,Ainsley,Mathis,XXXXXXXXX,XXXXXXXXX,Dallas,TX,75220.0,EE. UU.,Consumer,7190 Silver Horse Glade
19458,Aurora,Sharp,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Corporate,830 Broad Beacon Maze
19457,Libby,Bray,XXXXXXXXX,XXXXXXXXX,Carlisle,PA,17013.0,EE. UU.,Corporate,6127 Dewy Goose Downs
19456,Amy,Lindsay,XXXXXXXXX,XXXXXXXXX,Dallas,TX,75228.0,EE. UU.,Corporate,1188 Old Abbey
19455,Ivory,Parks,XXXXXXXXX,XXXXXXXXX,Caguas,PR,725.0,Puerto Rico,Consumer,7004 Hazy Lake Townline
